Wavelength (nm),Irradiance (W/m^2 nm),Normalized,,wavelength,1.5 AM irrandiance,Normalized 1.5AM
,,,,1985,0.081625,5.69E-02
,,,,1990,0.084124,5.86E-02
,,,,1995,0.079787,5.56E-02
,,,,2000,0.037491,2.61E-02
,,,,2005,0.014747,1.03E-02
,,,,2010,0.039071,2.72E-02
,,,,2015,0.026208,1.83E-02
,,,,2020,0.044239,3.08E-02
,,,,2025,0.072779,5.07E-02
,,,,2030,0.08346,5.82E-02
,,,,2035,0.094808,6.61E-02
,,,,2040,0.088344,6.16E-02
,,,,2045,0.089636,6.25E-02
,,,,2050,0.066892,4.66E-02
,,,,2055,0.05409,3.77E-02
,,,,2060,0.068157,4.75E-02
,,,,2065,0.060962,4.25E-02
,,,,2070,0.064715,4.51E-02
,,,,2075,0.076305,5.32E-02
,,,,2080,0.085528,5.96E-02
,,,,2085,0.083847,5.84E-02
,,,,2090,0.087779,6.12E-02
,,,,2095,0.088421,6.16E-02
,,,,2100,0.084869,5.92E-02
,,,,2105,0.091771,6.40E-02
,,,,2110,0.08832,6.16E-02
,,,,2115,0.090308,6.29E-02
,,,,2120,0.086281,6.01E-02
,,,,2125,0.087303,6.09E-02
,,,,2130,0.088422,6.16E-02
,,,,2135,0.088679,6.18E-02
,,,,2140,0.08939,6.23E-02
,,,,2145,0.088132,6.14E-02
,,,,2150,0.083369,5.81E-02
,,,,2155,0.083566,5.82E-02
,,,,2160,0.082912,5.78E-02
,,,,2165,0.075175,5.24E-02
,,,,2170,0.080776,5.63E-02
,,,,2175,0.079257,5.52E-02
,,,,2180,0.080597,5.62E-02
,,,,2185,0.073458,5.12E-02
,,,,2190,0.077905,5.43E-02
,,,,2195,0.077833,5.43E-02
,,,,2200,0.070175,4.89E-02
,,,,2205,0.072947,5.08E-02
,,,,2210,0.078174,5.45E-02
,,,,2215,0.075189,5.24E-02
,,,,2220,0.076631,5.34E-02
,,,,2225,0.0744,5.19E-02
,,,,2230,0.074727,5.21E-02
,,,,2235,0.07329,5.11E-02
,,,,2240,0.07214,5.03E-02
,,,,2245,0.069911,4.87E-02
,,,,2250,0.071034,4.95E-02
,,,,2255,0.066865,4.66E-02
,,,,2260,0.066143,4.61E-02
,,,,2265,0.067355,4.69E-02
,,,,2270,0.064138,4.47E-02
,,,,2275,0.063309,4.41E-02
,,,,2280,0.065551,4.57E-02
,,,,2285,0.062389,4.35E-02
,,,,2290,0.062534,4.36E-02
,,,,2295,0.060603,4.22E-02
,,,,2300,0.058193,4.06E-02
,,,,2305,0.058544,4.08E-02
,,,,2310,0.063189,4.40E-02
,,,,2315,0.057528,4.01E-02
,,,,2320,0.051489,3.59E-02
,,,,2325,0.055626,3.88E-02
,,,,2330,0.056231,3.92E-02
,,,,2335,0.057362,4.00E-02
